book	chapter	verse	anchor	references
Gen	1	28	God blessed them and said to them, “Be fruitful and multiply	Gen 1:22|Gen 8:17|Gen 9:1,7|Gen 17:16,20|Gen 22:17-18|Gen 24:60|Gen 26:4,24|Gen 49:25|Lev 26:9|Ps 127:1-5|Ps 128:3-4
Gen	1	28	fill the earth	Isa 45:18|Exod 1:7
Gen	1	28	subdue it	Heb 2:5-9|1 Cor 15:27-28|Dan 7:13-14
Gen	1	28	rule over	Ps 8:6-8|Rev 5:10
Gen	1	29	I have given	Ps 24:1|Ps 115:16|Hos 2:8|Acts 17:24-25,28|1 Tim 6:17
Gen	1	29	They will be yours for food	Gen 2:16|Gen 9:3|Job 36:31|Ps 104:14-15,27-28|Ps 111:5|Ps 136:25|Ps 145:15-16|Ps 146:7|Ps 147:9|Isa 33:16|Matt 6:11,25-26|Acts 14:17
Gen	1	30	And to every beast of the earth and every bird of the air and every creature that crawls upon the earth—everything that has the breath of life in it—I have given every green plant for food.” And it was so.	Gen 9:3|Job 38:39-41|Job 39:4,8,30|Job 40:15,20|Ps 104:14|Ps 145:15-16|Ps 147:9
Gen	1	31	very good	Job 38:7|Ps 19:1-2|Ps 104:24,31|Lam 3:38|1 Tim 4:4
Gen	1	31	And there was evening, and there was morning—	Gen 1:5,8,13,19,23|Gen 2:2|Exod 20:11
Gen	2	1	Thus	Gen 2:4|Gen 1:1,10|Exod 20:11|Exod 31:17|2 Kgs 19:15|2 Chr 2:12|Neh 9:6|Job 12:9|Ps 89:11-13|Ps 104:2|Ps 136:5-8|Ps 146:6|Isa 42:5|Isa 45:18|Isa 48:13|Isa 55:9|Isa 65:17|Jer 10:12,16|Zech 12:1|Acts 4:24|Heb 4:3
Gen	2	1	vast array	Deut 4:19|Deut 17:3|2 Kgs 21:3-5|Ps 33:6,9|Isa 34:4|Isa 40:26-28|Isa 45:12|Jer 8:2|Luke 2:13|Acts 7:42
Gen	2	2	And by	Gen 1:31|Exod 20:11|Exod 23:12|Exod 31:17|Deut 5:14|Isa 58:13|John 5:17|Heb 4:4
Gen	2	3	blessed	Exod 16:22-30|Exod 20:8-11|Exod 23:12|Exod 31:13-17|Exod 34:21|Exod 35:2-3|Lev 23:3|Lev 25:2-3|Deut 5:12-14|Neh 9:14|Neh 13:15-22|Prov 10:22|Isa 56:2-7|Isa 58:13-14|Jer 17:21-27|Ezek 20:12|Mark 2:27|Luke 23:56|Heb 4:4-10
Gen	2	4	the account	Gen 1:4|Gen 5:1|Gen 10:1|Gen 11:10|Gen 25:12,19|Gen 36:1,9|Exod 6:16|Job 38:28|Ps 90:1-2
Gen	2	4	LORD	Exod 15:3|1 Kgs 18:39|2 Chr 20:6|Ps 18:31|Ps 86:10|Isa 44:6|Rev 1:4,8|Rev 11:17|Rev 16:5
Gen	2	5	shrub	Gen 1:12|Ps 104:14
Gen	2	5	had not yet sent rain	Job 5:10|Job 38:26-28|Ps 65:9-11|Ps 135:7|Jer 14:22|Matt 5:45|Heb 6:7
Gen	2	5	to cultivate	Gen 3:23|Gen 4:2,12
Gen	2	7	formed man	Ps 100:3|Ps 139:14-15|Isa 64:8
Gen	2	7	dust	Gen 3:19,23|Job 4:19|Job 33:6|Ps 103:14|Eccl 3:7,20|Eccl 12:7|Isa 64:8|Rom 9:20|1 Cor 15:47|2 Cor 4:7|2 Cor 5:1
Gen	2	7	breathed	Job 27:3|Job 33:4|John 20:22|Acts 17:25
Gen	2	7	nostrils	Gen 7:22|Eccl 3:21|Isa 2:22
Gen	2	7	a living being	Num 16:22|Num 27:16|Prov 20:27|Zech 12:1|1 Cor 15:45|Heb 12:9
Gen	2	8	a garden	Gen 13:10|Ezek 28:13|Ezek 31:8-9|Joel 2:3
Gen	2	8	in the east	Gen 3:24|Gen 4:16|2 Kgs 19:12|Ezek 27:23|Ezek 31:16,18
Gen	2	9	every tree	Ezek 31:8-9,16,18
Gen	2	9	tree of life	Gen 3:22|Prov 3:18|Prov 11:30|Ezek 47:12|John 6:48|Rev 2:7|Rev 22:2,14
Gen	2	9	tree of the knowledge of good and evil	Prov 3:5,7|Gen 2:17|Gen 3:3,22|Deut 6:25|Isa 44:25|Isa 47:10|1 Cor 8:1
Gen	2	10	a river	Ps 46:4|Rev 22:1
Gen	2	11	Havilah	Gen 10:7,29|Gen 25:18|1 Sam 15:7
Gen	2	12	And the gold of that land is pure, and bdellium	Num 11:7
Gen	2	12	onyx	Exod 28:20|Exod 39:13|Job 28:16|Ezek 28:13
Gen	2	13	Cush	Gen 10:6|Isa 11:11
Gen	2	14	Hiddekel	Dan 10:4
Gen	2	14	along the east side of	Gen 10:11,22|Gen 25:18
Gen	2	14	Euphrates	Gen 15:18|Deut 1:7|Deut 11:24|Rev 9:14
Gen	2	15	the man	Gen 2:2|Job 31:33
Gen	2	15	placed	Gen 2:8|Ps 128:2|Eph 4:28
Gen	2	16	God	1 Sam 15:22
Gen	2	16	You may eat freely	Gen 2:9|Gen 3:1-2|1 Tim 4:4|1 Tim 6:17
Gen	2	17	from the tree of the knowledge of good and evil	Gen 2:9|Gen 3:1-3,11,17,19
Gen	2	17	surely die	Gen 3:3-4,19|Gen 20:7|Num 26:65|Deut 27:26|1 Sam 14:39,44|1 Sam 20:31|1 Sam 22:16|1 Kgs 2:37,42|Jer 26:8|Ezek 3:18-20|Ezek 18:4,13,32|Ezek 33:8,14|Rom 1:32|Rom 5:12-21|Rom 6:16,23|Rom 7:10-13|Rom 8:2|1 Cor 15:22,56|Gal 3:10|Eph 2:1-6|Eph 5:14|Col 2:13|1 Tim 5:6|Jas 1:15|1 John 5:16|Rev 2:11|Rev 20:6,14|Rev 21:8
Gen	2	18	not good	Gen 1:31|Gen 3:12|Ruth 3:1|Prov 18:22|Eccl 4:9-12|1 Cor 7:36
Gen	2	18	I will make	Gen 3:12|1 Cor 11:7-12|1 Tim 2:11-13|1 Pet 3:7
Gen	2	19	And out of the ground	Gen 1:20-25
Gen	2	19	brought	Gen 2:22-23|Gen 1:26,28|Gen 6:20|Gen 9:2|Ps 8:4-8
Gen	2	21	So the LORD God caused the man to fall into a deep sleep, and while he slept, He took one of the man’s ribs and closed up the area with flesh.	Gen 15:12|1 Sam 26:12|Job 4:13|Job 33:15|Prov 19:15|Dan 8:18
Gen	2	22	made a woman	Ps 127:1|1 Tim 2:13
Gen	2	22	brought	Gen 2:19|Prov 18:22|Prov 19:14|Heb 13:4
Gen	2	23	bone of my bones	Gen 29:14|Judg 9:2|2 Sam 5:1|2 Sam 19:13|Eph 5:30
Gen	2	23	woman	1 Cor 11:8-9
Gen	2	23	taken	1 Cor 11:8
Gen	2	24	leave	Gen 24:58-59|Gen 31:14-15|Ps 45:10
Gen	2	24	be united	Lev 22:12-13|Deut 4:4|Deut 10:20|Josh 23:8|Ps 45:10|Prov 12:4|Prov 31:10|Acts 11:23
Gen	2	24	they will become one flesh	Mal 2:14-16|Matt 19:3-9|Mark 10:6-12|Rom 7:2|1 Cor 6:16-17|1 Cor 7:2-4,10|1 Cor 7:11|Eph 5:28-31|1 Tim 5:14|1 Pet 3:1-7
Gen	2	25	naked	Gen 3:7,10-11
Gen	2	25	not ashamed	Exod 32:25|Ps 25:3|Ps 31:17|Isa 44:9|Isa 47:3|Isa 54:4|Jer 6:15|Jer 17:13|Ezek 16:61|Joel 2:26|Mark 8:38|Luke 9:26|Rom 10:11
Gen	3	1	Now	Gen 3:13-15|Isa 27:1|Matt 10:16|2 Cor 11:3,14|Rev 12:9|Rev 20:2
Gen	3	1	he said	Num 22:28-29|Eccl 4:10
Gen	3	1	Did God really say	Matt 4:3,6,9
Gen	3	2	serpent	Ps 58:4
Gen	3	3	but	Gen 2:16-17
Gen	3	3	touch	Gen 20:6|Exod 19:12-13|1 Chr 16:22|Job 1:11|Job 2:5|Job 19:21|1 Cor 7:1|2 Cor 6:17|Col 2:21
Gen	3	4	serpent	John 8:44
Gen	3	4	You will not surely die	Gen 3:13|Deut 29:19|2 Kgs 1:4,6,16|2 Kgs 8:10|Ps 10:11|2 Cor 2:11|2 Cor 11:3|1 Tim 2:14
Gen	3	5	God knows	Exod 20:7|1 Kgs 22:6|Jer 14:13-14|Jer 28:2-3|Ezek 13:2-6,22|2 Cor 11:3|2 Cor 11:13-15
Gen	3	5	your eyes will be opened	Gen 3:7,10|Matt 6:23|Acts 26:18
Gen	3	5	like God	Exod 5:2|2 Chr 32:15|Ps 12:4|Ezek 28:2,9|Ezek 29:3|Dan 4:30|Dan 6:7|Acts 12:22-23|2 Cor 4:4|2 Thess 2:4|Rev 13:4,14
Gen	3	5	knowing good and evil	Gen 3:22|Gen 2:17
Gen	3	6	saw	Josh 7:21|Judg 16:1-2
Gen	3	6	pleasing	Ezek 24:16,21,25
Gen	3	6	to the eyes	Gen 6:2|Gen 39:7|Josh 7:21|2 Sam 11:2|Job 31:1|Matt 5:28|1 John 2:16
Gen	3	6	and ate it	1 Tim 2:14
Gen	3	6	and he ate it	Gen 3:12,17|Hos 6:7|Rom 5:12-19
Gen	3	7	And the eyes of both of them were opened	Gen 3:5|Deut 28:34|2 Kgs 6:20|Luke 16:23
Gen	3	7	knew that they were naked	Gen 3:10-11|Gen 2:25
Gen	3	7	sewed together fig leaves and made coverings for themselves	Job 9:29-31|Isa 28:20|Isa 59:6
Gen	3	8	heard the voice of the LORD God	Gen 3:10|Deut 4:33|Deut 5:25
Gen	3	8	breeze of the day	Job 34:21-22|Job 38:1
Gen	3	8	hid themselves	Job 22:14|Job 31:33|Job 34:22|Ps 139:1-12|Prov 15:3|Jer 23:24|Amos 9:2-3|Jonah 1:3,9-10|Rom 2:15|Heb 4:13
Gen	3	9	Where are you?	Gen 4:9|Gen 11:5|Gen 16:8|Gen 18:20-21|Josh 7:17-19|Rev 20:12-13
Gen	3	10	and I was afraid	Gen 2:25|Exod 3:6|Job 23:15|Ps 119:120|Isa 33:14|Isa 57:11|1 John 3:20
Gen	3	10	because I was naked	Gen 3:7|Gen 2:25|Exod 32:25|Isa 47:3|Rev 3:17-18|Rev 16:15
Gen	3	11	“Who told you that you were naked?” asked the LORD God. “Have you eaten from the tree of which I commanded you not to eat?”	Gen 4:10|Ps 50:21|Rom 3:20
Gen	3	12	The woman whom You gave me, she gave me fruit from the tree, and I ate it	Gen 2:18,20,22|Exod 32:21-24|1 Sam 15:20-24|Job 31:33|Prov 19:3|Prov 28:13|Luke 10:29|Rom 10:3|Jas 1:13-15
Gen	3	13	What is this you have done?	Gen 4:10-12|Gen 44:15|1 Sam 13:11|2 Sam 3:24|2 Sam 12:9-12|John 18:35
Gen	3	13	The serpent deceived me	Gen 3:4-6|2 Cor 11:3|1 Tim 2:14
Gen	3	14	cursed are you	Gen 3:1|Gen 9:6|Exod 21:28-32|Lev 20:25
Gen	3	14	dust you will eat	Ps 72:9|Isa 29:4|Isa 65:25|Mic 7:17
Gen	3	15	enmity	Num 21:6-7|Amos 9:3|Mark 16:18|Luke 10:19|Acts 28:3-6|Rom 3:13
Gen	3	15	your seed	Matt 3:7|Matt 12:34|Matt 13:38|Matt 23:33|John 8:44|Acts 13:10|1 John 3:8,10
Gen	3	15	her seed	Ps 132:11|Isa 7:14|Jer 31:22|Mic 5:3|Matt 1:23,25|Luke 1:31-35,76|Gal 4:4
Gen	3	15	He will crush your head	Rom 16:20|Eph 4:8|Col 2:15|Heb 2:14-15|1 John 3:8|1 John 5:5|Rev 12:7-8,17|Rev 20:1-3,10
Gen	3	15	you will strike his heel	Gen 49:17|Isa 53:3-4,12|Dan 9:26|Matt 4:1-10|Luke 22:39-44,53|John 12:31-33|John 14:30-31|Heb 2:18|Heb 5:7|Rev 2:10|Rev 12:9-13|Rev 13:7|Rev 15:1-6|Rev 20:7-8
Gen	3	16	pain in childbirth	Gen 35:16-18|1 Sam 4:19-21|Ps 48:6|Isa 13:8|Isa 21:3|Isa 26:17-18|Isa 53:11|Jer 4:31|Jer 6:24|Jer 13:21|Jer 22:23|Jer 49:24|Mic 4:9-10|John 16:21|1 Thess 5:3|1 Tim 2:15
Gen	3	16	Your desire will be for your husband	Gen 4:7
Gen	3	16	he will rule over you	Num 30:7-8,13|Esth 1:20|1 Cor 7:4|1 Cor 11:3|1 Cor 14:34|Eph 5:22-24|Col 3:18|1 Tim 2:11-12|Titus 2:5|1 Pet 3:1-6
Gen	3	17	Because you have listened to the voice of your wife	1 Sam 15:23-24|Matt 22:12|Matt 25:26-27,45|Luke 19:22|Rom 3:19
Gen	3	17	have eaten from the tree	Gen 3:6,11|Gen 2:16-17|Jer 7:23-24
Gen	3	17	cursed is the ground	Gen 5:29|Ps 127:2|Eccl 1:2-3,13-14|Eccl 2:11,17|Isa 24:5-6|Rom 8:20-22
Gen	3	17	through toil	Job 5:6-7|Job 14:1|Job 21:17|Ps 90:7-9|Eccl 2:22-23|Eccl 5:17|John 16:33
Gen	3	18	thorns and thistles	Josh 23:13|Job 5:5|Job 31:40|Prov 22:5|Prov 24:31|Isa 5:6|Isa 7:23|Isa 32:13|Jer 4:3|Jer 12:13|Matt 13:7|Heb 6:8
Gen	3	18	plants of the field	Job 1:21|Ps 90:3|Ps 104:2,14-15|Rom 14:2
Gen	3	19	By the sweat of your brow	Eccl 1:3,13|Eph 4:28|1 Thess 2:9|2 Thess 3:10
Gen	3	19	until you return to the ground	Job 1:21|Ps 90:3|Ps 104:29|Eccl 5:15
Gen	3	19	For dust you are	Gen 2:7|Gen 18:27
Gen	3	19	and to dust you shall return	Gen 23:4|Job 17:13-16|Job 19:26|Job 21:26|Job 34:15|Ps 22:15,29|Ps 104:29|Prov 21:16|Eccl 3:20|Eccl 12:7|Dan 12:2|Rom 5:12-21|1 Cor 15:21-22
Gen	3	20	Adam named his wife Eve	Gen 2:20,23|Gen 5:29|Gen 16:11|Gen 29:32-35|Gen 35:18|Exod 2:10|1 Sam 1:20|Matt 1:21,23
Gen	3	20	mother of all the living	Acts 17:26
Gen	3	21	made garments of skin	Gen 3:7|Isa 61:10|Rom 3:22|2 Cor 5:2-3,21
Gen	3	22	like one of Us	Gen 3:5|Gen 1:26|Gen 11:6-7|Isa 19:12-13|Isa 47:12-13|Jer 22:23
Gen	3	22	tree of life	Gen 2:9|Prov 3:18|Rev 2:7|Rev 22:2
Gen	3	22	eat, and live forever	Ps 22:26|John 6:48-58
Gen	3	23	to work the ground	Gen 3:19|Gen 2:5|Gen 4:2,12|Gen 9:20|Eccl 5:9
Gen	3	24	east side	Gen 2:8
Gen	3	24	cherubim	Exod 25:2,20,22|1 Sam 4:4|1 Kgs 6:25-35|Ps 80:1|Ps 99:1|Ps 104:4|Ezek 10:2-22|Heb 1:7
Gen	3	24	whirling sword of flame	Num 22:23|Josh 5:13|1 Chr 21:16-17|Heb 1:7
Gen	3	24	to guard the way	John 14:6|Heb 10:18-22
Gen	4	1	had relations with	Num 31:17
Gen	4	1	I have brought forth	Gen 4:25|Gen 3:15|Gen 5:29|1 John 3:12
Gen	4	2	Abel	Gen 30:29-31|Gen 37:13|Gen 46:32-34|Gen 47:3|Exod 3:1|Ps 78:70-72|Amos 7:15
Gen	4	2	keeper of sheep	Gen 4:25-26|Ps 127:3|John 8:44|1 John 3:10,12,15
Gen	4	2	tiller of the soil	Gen 3:23|Gen 9:20
Gen	4	3	in the course of time	1 Kgs 17:7|Neh 13:6
Gen	4	3	fruit of the soil	Lev 2:1-11|Num 18:12
Gen	4	4	firstborn of his flock	Exod 13:12|Num 18:12,17|Prov 3:9|Heb 9:22|1 Pet 1:19-20|Rev 13:8
Gen	4	4	best portions	Lev 3:16-17
Gen	4	4	looked with favor	Gen 15:17|Lev 9:24|Num 16:35|Judg 6:21|1 Kgs 18:24,38|1 Chr 21:26|2 Chr 7:1|Ps 20:3|Heb 11:4
Gen	4	5	but He had no regard	Num 16:15|Heb 11:4
Gen	4	5	angry	Gen 31:2,5|Job 5:2|Ps 20:3|Isa 3:10-11|Matt 20:15|Luke 15:28-30|Acts 13:45
Gen	4	6	“Why are you angry,” said the LORD to Cain, “and why has your countenance fallen?	1 Chr 13:11-13|Job 5:2|Isa 1:18|Jer 2:5,31|John 4:1-4,8-11|Mic 6:3-5|Matt 20:15|Luke 15:31-32
Gen	4	7	If you do what is right	Gen 19:21|2 Sam 24:23|2 Kgs 8:28|Job 42:8|Prov 18:5|Eccl 8:12-13|Isa 3:10-11|Jer 6:20|Mal 1:8,10,13|Acts 10:35|Rom 2:7-10|Rom 12:1|Rom 14:18|Rom 15:16|Eph 1:6|1 Tim 5:4|1 Pet 2:5
Gen	4	7	be accepted	Job 29:4|Prov 21:27|Heb 11:4
Gen	4	7	sin	Gen 4:8-13|Rom 7:8-9|Jas 1:15
Gen	4	7	it desires you	Gen 3:16
Gen	4	8	said to his brother Abel	2 Sam 3:27|2 Sam 13:26-28|2 Sam 20:9-10|Neh 6:2|Ps 36:3|Ps 55:21|Prov 26:24-26|Mic 7:6|Luke 22:48
Gen	4	8	Cain rose up	2 Sam 14:6|Job 11:15|Ps 24:3-6|Ps 139:19|Matt 23:35|Luke 11:51|1 John 3:12-15|Jude 1:11
Gen	4	9	Where is	Gen 3:9-11|Ps 9:12
Gen	4	9	I do not know	Gen 37:32|Job 22:13-14|Ps 10:13-14|Prov 28:13|John 8:44|Acts 5:4-9
Gen	4	10	What have you done	Gen 3:13|Josh 7:19|Ps 50:21
Gen	4	10	cries out	Gen 18:20|Exod 3:7|2 Kgs 9:26|Job 16:18|Job 24:12|Job 31:38-39|Ps 9:12|Ps 72:14|Isa 5:7|Acts 5:3,9|Heb 11:4|Heb 12:24|Jas 5:4|Rev 6:10
Gen	4	11	Now you are cursed and banished from the ground	Gen 4:14|Gen 3:14|Deut 27:16-26|Deut 28:15-20|Deut 29:19-21|Gal 3:10
Gen	4	11	opened its mouth	Job 16:18|Job 31:38-40|Isa 26:21|Rev 12:16
Gen	4	12	it will no longer yield its produce	Gen 3:17-18|Lev 26:20|Deut 28:23-24|Rom 8:20
Gen	4	12	a fugitive and a wanderer	Gen 4:14|Lev 26:36|Deut 28:65-66|Ps 109:10|Jer 20:3-4|Hos 9:17
Gen	4	13	My punishment is greater than I can bear.	Job 15:22|Rev 16:9,11,21
Gen	4	14	driven me	Job 15:20-24|Prov 14:32|Prov 28:1|Isa 8:22|Hos 13:3
Gen	4	14	from Your face	Gen 4:16|Job 21:14-15|Ps 51:11-14|Ps 143:7|Matt 25:41,46|2 Thess 1:9
Gen	4	14	fugitive and a wanderer	Deut 28:65|Ps 109:10|Ps 109:12
Gen	4	14	whoever finds me	Gen 4:15|Gen 9:5-6|Lev 26:17,36|Num 17:12-13|Num 35:19,21,27|2 Sam 14:7|Job 15:20-24|Prov 28:1
Gen	4	15	If anyone slays Cain	1 Kgs 16:7|Ps 59:11|Hos 1:4|Matt 26:52
Gen	4	15	sevenfold	Gen 4:24|Lev 26:18,21,24,28|Ps 79:12|Prov 6:31
Gen	4	15	placed a mark	Ezek 9:4,6|Rev 14:9,11
Gen	4	16	went out	Gen 4:14|Gen 3:8|Exod 20:18|2 Kgs 13:23|2 Kgs 24:20|Job 1:12|Job 2:7|Job 20:17|Ps 5:11|Ps 68:2|Jer 23:39|Jer 52:3|John 1:3,10|Matt 18:20|Luke 13:26|1 Thess 1:9
Gen	4	17	Enoch	Gen 5:18,22
Gen	4	17	Cain built a city	Gen 11:4|Eccl 2:4-11|Dan 4:30|Luke 17:28-29
Gen	4	17	named it after his son	2 Sam 18:18|Ps 49:11
Gen	4	18	Lamech	Gen 5:21|Gen 36:2
Gen	4	19	two women	Gen 2:18,24|Matt 19:4-6,8
Gen	4	20	father of those	Gen 4:21|1 Chr 2:50-52|1 Chr 4:4-5|John 8:44|Rom 4:11-12
Gen	4	20	dwell in tents	Gen 4:2|Gen 25:27|Jer 35:9-10|Heb 11:9
Gen	4	21	father	Rom 4:11-12
Gen	4	21	harp and flute	Gen 31:27|Job 21:12|Isa 5:12|Amos 6:5
Gen	4	22	bronze and iron	Exod 25:3|Num 31:22|Deut 8:9|Deut 33:25|2 Chr 2:7
Gen	4	23	hear my voice	Num 23:18|Judg 9:7
Gen	4	24	seventy-sevenfold	Matt 18:22
Gen	4	25	named him	Gen 5:3-4|1 Chr 1:1|Luke 3:38
Gen	4	25	Seth	Gen 4:1-3,8,10-11
Gen	4	26	call upon the name of the LORD	Deut 26:17-18|1 Kgs 18:24|Ps 116:17|Isa 44:5|Isa 48:1|Isa 63:19|Jer 33:16|Joel 2:32|Zeph 3:9|Acts 2:21|Acts 11:26|Rom 10:13|1 Cor 1:2|Eph 3:14-15
Gen	5	1	book of the generations	Gen 2:4|Gen 6:9|Gen 10:1|1 Chr 1:1|Matt 1:1|Luke 3:36-38
Gen	5	1	in His own likeness	Gen 1:26-27|Eccl 7:29|Eccl 12:1|1 Cor 11:7|2 Cor 3:18|Eph 4:24|Col 3:10|Heb 1:3|Heb 12:9
Gen	5	2	Male and female	Gen 1:27|Mal 2:15
Gen	5	2	He created them	Gen 2:15,23|Acts 17:26
